"Cód.","Município","2019"
"2103406","Coelho Neto (MA)","363805"
"2103505","Colinas (MA)","403960"
"2103554","Conceição do Lago-Açu (MA)","123274"
"2103604","Coroatá (MA)","444376"
"2103703","Cururupu (MA)","230659"
"2103752","Davinópolis (MA)","436086"
"2103802","Dom Pedro (MA)","235258"
"2103901","Duque Bacelar (MA)","75989"
"2104008","Esperantinópolis (MA)","143635"
"2104057","Estreito (MA)","942260"
"2104073","Feira Nova do Maranhão (MA)","81562"
"2104081","Fernando Falcão (MA)","69039"
"2104099","Formosa da Serra Negra (MA)","145682"
"2104107","Fortaleza dos Nogueiras (MA)","160699"
"2104206","Fortuna (MA)","111195"
"2104305","Godofredo Viana (MA)","408812"
"2104404","Gonçalves Dias (MA)","127273"
"2104503","Governador Archer (MA)","68148"
"2104552","Governador Edison Lobão (MA)","266117"
"2104602","Governador Eugênio Barros (MA)","102724"
"2104628","Governador Luiz Rocha (MA)","52836"
"2104651","Governador Newton Bello (MA)","67181"
"2104677","Governador Nunes Freire (MA)","220741"
"2104701","Graça Aranha (MA)","41109"
"2104800","Grajaú (MA)","740105"
"2104909","Guimarães (MA)","82736"
"2105005","Humberto de Campos (MA)","161604"
"2105104","Icatu (MA)","162343"
"2105153","Igarapé do Meio (MA)","198012"
"2105203","Igarapé Grande (MA)","93441"
"2105302","Imperatriz (MA)","7458048"
"2105351","Itaipava do Grajaú (MA)","87607"
"2105401","Itapecuru Mirim (MA)","553391"
"2105427","Itinga do Maranhão (MA)","328526"
"2105450","Jatobá (MA)","66883"
"2105476","Jenipapo dos Vieiras (MA)","97773"
"2105500","João Lisboa (MA)","214359"
"2105609","Joselândia (MA)","85330"
"2105658","Junco do Maranhão (MA)","43619"
"2105708","Lago da Pedra (MA)","415036"
"2105807","Lago do Junco (MA)","70237"
"2105906","Lago Verde (MA)","116802"
"2105922","Lagoa do Mato (MA)","74416"
"2105948","Lago dos Rodrigues (MA)","74903"
"2105963","Lagoa Grande do Maranhão (MA)","77200"
"2105989","Lajeado Novo (MA)","74055"
"2106003","Lima Campos (MA)","148289"
"2106102","Loreto (MA)","193591"
"2106201","Luís Domingues (MA)","46197"
"2106300","Magalhães de Almeida (MA)","118414"
"2106326","Maracaçumé (MA)","172340"
"2106359","Marajá do Sena (MA)","61165"
"2106375","Maranhãozinho (MA)","102471"
"2106409","Mata Roma (MA)","145594"
"2106508","Matinha (MA)","165708"
"2106607","Matões (MA)","194797"
"2106631","Matões do Norte (MA)","75065"
"2106672","Milagres do Maranhão (MA)","49939"
"2106706","Mirador (MA)","181430"
"2106755","Miranda do Norte (MA)","482235"
"2106805","Mirinzal (MA)","95253"
"2106904","Monção (MA)","234780"
"2107001","Montes Altos (MA)","62892"
"2107100","Morros (MA)","135316"
"2107209","Nina Rodrigues (MA)","77043"
"2107258","Nova Colinas (MA)","56685"
"2107308","Nova Iorque (MA)","38421"
"2107357","Nova Olinda do Maranhão (MA)","141323"
"2107407","Olho d'Água das Cunhãs (MA)","148790"
"2107456","Olinda Nova do Maranhão (MA)","89152"
"2107506","Paço do Lumiar (MA)","992331"
"2107605","Palmeirândia (MA)","125227"
"2107704","Paraibano (MA)","165570"
"2107803","Parnarama (MA)","235575"
"2107902","Passagem Franca (MA)","154387"
"2108009","Pastos Bons (MA)","198420"
"2108058","Paulino Neves (MA)","104791"
"2108108","Paulo Ramos (MA)","162575"
"2108207","Pedreiras (MA)","583302"
"2108256","Pedro do Rosário (MA)","146945"
"2108306","Penalva (MA)","217379"
"2108405","Peri Mirim (MA)","77552"
"2108454","Peritoró (MA)","203358"
"2108504","Pindaré-Mirim (MA)","270135"
"2108603","Pinheiro (MA)","896948"
"2108702","Pio XII (MA)","141081"
"2108801","Pirapemas (MA)","116214"
"2108900","Poção de Pedras (MA)","152659"
"2109007","Porto Franco (MA)","517823"
"2109056","Porto Rico do Maranhão (MA)","44685"
"2109106","Presidente Dutra (MA)","585585"
"2109205","Presidente Juscelino (MA)","82197"
"2109239","Presidente Médici (MA)","48279"
"2109270","Presidente Sarney (MA)","129161"
"2109304","Presidente Vargas (MA)","68627"
"2109403","Primeira Cruz (MA)","71618"
"2109452","Raposa (MA)","250624"
"2109502","Riachão (MA)","335436"
"2109551","Ribamar Fiquene (MA)","94326"
"2109601","Rosário (MA)","371816"
"2109700","Sambaíba (MA)","187254"
"2109759","Santa Filomena do Maranhão (MA)","51153"
"2109809","Santa Helena (MA)","269185"
"2109908","Santa Inês (MA)","1245837"
"2110005","Santa Luzia (MA)","562325"
"2110039","Santa Luzia do Paruá (MA)","209953"
"2110104","Santa Quitéria do Maranhão (MA)","183337"
"2110203","Santa Rita (MA)","281371"
"2110237","Santana do Maranhão (MA)","66994"
"2110278","Santo Amaro do Maranhão (MA)","79028"
"2110302","Santo Antônio dos Lopes (MA)","1864781"
"2110401","São Benedito do Rio Preto (MA)","126522"
"2110500","São Bento (MA)","271177"
"2110609","São Bernardo (MA)","283893"
"2110658","São Domingos do Azeitão (MA)","174264"
"2110708","São Domingos do Maranhão (MA)","291707"
"2110807","São Félix de Balsas (MA)","44479"
"2110856","São Francisco do Brejão (MA)","99643"
"2110906","São Francisco do Maranhão (MA)","76223"
"2111003","São João Batista (MA)","123149"
"2111029","São João do Carú (MA)","93763"
"2111052","São João do Paraíso (MA)","120395"
"2111078","São João do Soter (MA)","109228"
"2111102","São João dos Patos (MA)","273653"
"2111201","São José de Ribamar (MA)","2133553"
"2111250","São José dos Basílios (MA)","53447"
"2111300","São Luís (MA)","32103746"
"2111409","São Luís Gonzaga do Maranhão (MA)","139803"
"2111508","São Mateus do Maranhão (MA)","321774"
"2111532","São Pedro da Água Branca (MA)","106767"
"2111573","São Pedro dos Crentes (MA)","53115"
"2111607","São Raimundo das Mangabeiras (MA)","514142"
"2111631","São Raimundo do Doca Bezerra (MA)","36194"
"2111672","São Roberto (MA)","40975"
"2111706","São Vicente Ferrer (MA)","132458"
"2111722","Satubinha (MA)","77915"
"2111748","Senador Alexandre Costa (MA)","88853"
"2111763","Senador La Rocque (MA)","146338"
"2111789","Serrano do Maranhão (MA)","53573"
"2111805","Sítio Novo (MA)","167624"
"2111904","Sucupira do Norte (MA)","79727"
"2111953","Sucupira do Riachão (MA)","41393"
"2112001","Tasso Fragoso (MA)","1207259"
