"Município","Pedestre","Ciclista","Motociclista","triciclo","automóvel","caminhonete","transp_pesado","ônibus","Outros","Total"
"171320 Miracema do Tocantins",0,0,2,0,2,0,0,0,1,5
"171330 Miranorte",0,0,2,0,0,0,0,0,2,4
"171370 Monte Santo do Tocantins",0,0,0,0,0,0,0,0,1,1
"171395 Muricilândia",0,1,0,0,0,0,0,0,0,1
"171420 Natividade",0,0,1,0,1,0,0,0,0,2
"171488 Nova Olinda",0,1,0,0,4,0,0,0,1,6
"171500 Nova Rosalândia",0,0,1,0,0,0,0,0,1,2
"171525 Novo Jardim",0,0,2,0,0,0,0,7,0,9
"172100 Palmas",15,4,61,0,13,1,1,0,6,101
"171570 Palmeirante",0,0,0,0,0,0,0,0,1,1
"171380 Palmeiras do Tocantins",0,0,0,0,1,0,0,0,0,1
"171610 Paraíso do Tocantins",1,0,1,0,1,0,0,0,7,10
"171620 Paranã",0,0,2,0,0,0,0,0,0,2
"171650 Pedro Afonso",0,0,4,0,0,0,0,0,0,4
"171660 Peixe",0,0,4,0,1,0,0,0,0,5
"171720 Piraquê",0,0,0,0,1,0,0,0,0,1
"171750 Pium",0,0,1,0,0,0,0,0,3,4
"171790 Ponte Alta do Tocantins",0,0,1,0,0,0,0,0,0,1
"171800 Porto Alegre do Tocantins",0,0,1,0,0,0,0,0,0,1
"171820 Porto Nacional",1,0,12,0,7,0,0,0,1,21
"171845 Pugmil",0,0,0,0,0,0,0,0,2,2
"171850 Recursolândia",0,0,0,0,1,0,0,0,0,1
"171875 Rio Sono",0,0,1,0,0,0,0,0,0,1
"171880 Sampaio",0,0,1,0,0,0,0,0,0,1
"171884 Sandolândia",1,0,0,0,1,0,0,0,0,2
"171886 Santa Fé do Araguaia",0,0,0,0,1,0,0,0,3,4
"171889 Santa Rita do Tocantins",0,0,1,0,0,0,0,0,0,1
"171890 Santa Rosa do Tocantins",0,0,1,0,1,0,1,0,0,3
"171900 Santa Tereza do Tocantins",0,0,0,0,1,0,1,0,0,2
"172020 São Miguel do Tocantins",1,0,2,0,1,0,0,0,0,4
"172025 São Salvador do Tocantins",0,0,1,0,0,0,0,0,0,1
"172030 São Sebastião do Tocantins",0,0,1,0,0,0,0,0,0,1
"172049 São Valério",0,0,1,0,1,0,0,0,0,2
"172065 Silvanópolis",0,0,1,0,1,0,0,0,0,2
"172097 Talismã",0,0,0,0,1,0,1,0,0,2
"172120 Tocantinópolis",0,0,1,0,0,0,0,0,0,1
"172208 Wanderlândia",0,0,4,0,1,0,0,0,3,8
"172210 Xambioá",0,0,1,0,0,0,0,0,1,2
"170000 Município ignorado 0 TO",0,0,1,0,0,0,0,0,0,1
"210005 Açailândia",1,0,10,0,10,0,2,0,1,24
"210015 Água Doce do Maranhão",0,0,1,0,0,0,0,0,0,1
"210020 Alcântara",0,0,2,0,0,0,0,0,0,2
"210030 Aldeias Altas",0,0,1,0,0,0,0,0,0,1
"210043 Alto Alegre do Maranhão",1,0,3,0,0,0,0,0,0,4
"210050 Alto Parnaíba",0,0,1,0,0,0,0,0,0,1
"210055 Amapá do Maranhão",1,0,0,0,0,0,0,0,0,1
"210060 Amarante do Maranhão",1,0,0,0,0,0,0,0,1,2
"210070 Anajatuba",0,0,1,0,0,0,0,0,0,1
"210080 Anapurus",0,0,1,0,0,0,0,0,0,1
"210090 Araioses",0,0,3,0,0,0,0,0,0,3
"210095 Arame",0,1,0,0,0,0,0,0,2,3
"210100 Arari",0,0,3,0,1,0,0,0,1,5
"210110 Axixá",0,0,2,0,0,0,0,0,0,2
"210120 Bacabal",7,0,19,0,9,0,0,0,8,43
"210125 Bacabeira",0,1,2,0,0,0,0,0,9,12
"210140 Balsas",3,0,22,0,5,1,0,1,2,34
"210150 Barão de Grajaú",0,0,3,0,0,0,0,0,0,3
"210160 Barra do Corda",1,0,12,0,0,0,0,0,3,16
"210170 Barreirinhas",2,0,7,0,1,0,0,0,1,11
"210177 Bela Vista do Maranhão",0,0,1,0,0,0,0,0,0,1
"210180 Benedito Leite",0,0,0,0,3,0,0,0,0,3
"210190 Bequimão",0,0,3,0,0,0,0,0,0,3
"210197 Boa Vista do Gurupi",0,0,1,0,0,0,0,0,1,2
"210200 Bom Jardim",1,0,2,0,0,0,0,0,2,5
"210203 Bom Jesus das Selvas",0,0,2,0,1,0,0,0,0,3
"210207 Bom Lugar",0,0,1,0,0,0,0,0,0,1
"210210 Brejo",0,0,1,0,0,0,0,0,3,4
"210215 Brejo de Areia",0,0,0,0,0,0,0,0,1,1
"210220 Buriti",0,0,2,0,0,0,0,0,0,2
"210230 Buriti Bravo",0,0,2,0,0,0,1,0,1,4
"210232 Buriticupu",2,1,11,0,2,0,0,0,1,17
"210235 Buritirana",0,0,1,0,0,0,0,0,0,1
"210237 Cachoeira Grande",0,0,1,0,0,0,0,0,0,1
"210240 Cajapió",0,0,0,0,0,0,0,0,1,1
"210250 Cajari",0,0,0,0,0,0,0,0,1,1
"210255 Campestre do Maranhão",1,0,2,0,0,0,0,0,0,3
"210260 Cândido Mendes",0,0,2,0,0,0,0,0,0,2
