codigo,regiao,uf,nome,porte,snt,a1,a2,a3,a4,a5,b1,b2,b3,b4,c1,c2,c3,media_mortes
241025,Nordeste,Rio Grande do Norte,Porto do Mangue,Menor porte,Não municipalizado,0,0,0,0,0,13.290925266903914,0.45204262877442275,30.665440049064706,1318.6139221097824,172.6464274762343,24601.96258816314,0.59,0
241070,Nordeste,Rio Grande do Norte,Riacho da Cruz,Menor porte,Não municipalizado,0,0,0,0,0,13.670716889428919,0.595873786407767,664.0841173215274,1272.8278915329274,228.00221361372442,9550.359712230216,0.584,0
241110,Nordeste,Rio Grande do Norte,Ruy Barbosa,Menor porte,Não municipalizado,0,0,0,0,0,14.167146974063401,0.5223021582733813,361.9153674832962,1308.4632516703787,193.48552338530067,9876.391982182628,0.605,0
240933,Nordeste,Rio Grande do Norte,Santa Maria,Menor porte,Não municipalizado,0,0,0,0,0,14.955682630450323,0.4107142857142857,0,1209.7491549546344,249.06600249066003,13044.29816758584,0.59,0
241142,Nordeste,Rio Grande do Norte,Santana do Seridó,Menor porte,Não municipalizado,0,0,0,0,0,13.385214007782102,0.45006485084306097,409.0740052063964,2342.878393454816,286.72368910375604,12650.055782818892,0.642,0
241160,Nordeste,Rio Grande do Norte,São Bento do Norte,Menor porte,Não municipalizado,0,0,0,0,0,13.656498673740053,0.5371352785145889,0,1214.5748987854251,277.511961722488,129713.65476628634,0.555,0
241170,Nordeste,Rio Grande do Norte,São Bento do Trairí,Menor porte,Não municipalizado,0,0,0,0,0,13.50780437044745,0.5265348595213319,222.4694104560623,978.8654060066741,213.79310344827587,9474.7497219132365,0.595,0
241240,Nordeste,Rio Grande do Norte,São José do Seridó,Menor porte,Não municipalizado,0,0,0,0,0,11.336229946524064,0.5991983967935872,257.2347266881029,1521.9721329046088,320.9003215434084,25589.496248660234,0.694,0
241255,Nordeste,Rio Grande do Norte,São Miguel do Gostoso,Menor porte,Não municipalizado,0,0,0,0,0,12.46101980615255,0.483150800336984,67.55452615325227,1360.741169658367,229.10635012545842,32466.70526925304,0.591,0
241310,Nordeste,Rio Grande do Norte,Senador Elói de Souza,Menor porte,Não municipalizado,0,0,0,0,0,15.683013503909025,0.4427860696517413,114.24840868287905,881.3448669822099,229.6393014525869,8231.271421576628,0.583,0
241320,Nordeste,Rio Grande do Norte,Senador Georgino Avelino,Menor porte,Não municipalizado,0,0,0,0,0,12.592198581560284,0.46099290780141844,0,1471.900089206066,188.6708296164139,26812.22123104371,0.57,0
241370,Nordeste,Rio Grande do Norte,Sítio Novo,Menor porte,Não municipalizado,0,0,0,0,0,14.941241685144124,0.4756637168141593,215.7885272433016,989.0307498651321,162.56069052328718,8250.134867829527,0.572,0
241430,Nordeste,Rio Grande do Norte,Timbaúba dos Batistas,Menor porte,Não municipalizado,0,0,0,0,0,13.377880184331797,0.5252679938744257,0,2684.8409748038,269.7232548533664,14496.076001652209,0.64,0
241445,Nordeste,Rio Grande do Norte,Triunfo Potiguar,Menor porte,Não municipalizado,0,0,0,0,0,13.290556900726392,0.5881642512077294,373.13432835820896,2705.2238805970146,257.4626865671642,12674.440298507463,0.602,0
241475,Nordeste,Rio Grande do Norte,Venha-Ver,Menor porte,Não municipalizado,0,0,0,0,0,12.644110275689224,0.5350877192982456,190.24970273483947,951.2485136741973,189.77407847800237,9178.121284185494,0.555,0
241500,Nordeste,Rio Grande do Norte,Vila Flor,Menor porte,Não municipalizado,0,0,0,0,0,11.908302354399009,0.5668316831683168,657.4827802128992,1189.7307451471509,252.97432686286785,12999.373825923607,0.576,0
250115,Nordeste,Paraíba,Areia de Baraúnas,Menor porte,Não municipalizado,0,0,0,0,0,11.878881987577639,0.5279503105590062,0,1606.805293005671,152.17391304347828,9724.480151228734,0.562,0
250220,Nordeste,Paraíba,Bom Jesus,Menor porte,Não municipalizado,0,0,0,0,0,12.770689655172413,0.5862068965517241,0,1747.5728155339807,225.24271844660194,11417.864077669903,0.597,0
250290,Nordeste,Paraíba,Brejo dos Santos,Menor porte,Não municipalizado,0,0,0,0,0,11.942647956070775,0.7454323995127893,278.46534653465346,788.9851485148515,254.02227722772275,8518.25495049505,0.619,0
250340,Nordeste,Paraíba,Cacimba de Areia,Menor porte,Não municipalizado,0,0,0,0,0,12.302777777777777,0.6296809986130375,135.31799729364008,1542.6251691474965,195.12855209742895,9446.278755074425,0.596,0
250375,Nordeste,Paraíba,Cajazeirinhas,Menor porte,Não municipalizado,0,0,0,0,0,12.963609898107714,0.6885007278020379,0,2090.4836193447736,214.35257410296413,11056.786271450857,0.55,0
250410,Nordeste,Paraíba,Carrapateira,Menor porte,Não municipalizado,0,0,0,0,0,10.32994923857868,0.7027027027027027,0,1377.0003721622627,220.32005954596204,10218.087085969482,0.603,0
250435,Nordeste,Paraíba,Caturité,Menor porte,Não municipalizado,0,0,0,0,0,15.27032258064516,0.4064516129032258,0,1312.8205128205127,317.94871794871796,10720.205128205129,0.623,0
250720,Nordeste,Paraíba,Itatuba,Menor porte,Não municipalizado,0,0,0,0,0,10.40951932139491,0.6197183098591549,0,862.3819898329701,193.35511982570804,11307.007988380537,0.562,0
250937,Nordeste,Paraíba,Mato Grosso,Menor porte,Não municipalizado,0,0,0,0,0,12.977777777777778,0.65,0,1025.2904989747096,307.5871496924129,9389.268626110732,0.565,0
251060,Nordeste,Paraíba,Ouro Velho,Menor porte,Não municipalizado,0,0,0,0,0,14.841071428571428,0.4660714285714286,0,1378.8575180564676,183.84766907419566,10373.60472751149,0.614,0
251070,Nordeste,Paraíba,Passagem,Menor porte,Não municipalizado,0,0,0,0,0,11.89102564102564,0.5216,0,1642.0361247947455,256.56814449917897,9805.418719211822,0.62,0
251100,Nordeste,Paraíba,Pedra Branca,Menor porte,Não municipalizado,0,0,0,0,0,10.594660194174757,0.6888619854721549,0,1315.0973172014728,217.2540768016833,8474.224092582852,0.599,0
251170,Nordeste,Paraíba,Pilõezinhos,Menor porte,Não municipalizado,0,0,0,0,0,11.483226266952178,0.7073518915060671,0,887.991927346115,282.744702320888,9969.323915237133,0.564,0
251274,Nordeste,Paraíba,Riachão,Menor porte,Não municipalizado,0,0,0,0,0,13.045126353790614,0.6064981949458483,0,1630.2846090080134,153.0809615915999,8735.838629455651,0.574,0
251280,Nordeste,Paraíba,Riacho dos Cavalos,Menor porte,Não municipalizado,0,0,0,0,0,12.284789644012944,0.7014305491462852,93.66584709050463,866.4090855871679,253.71736330640437,9614.799203840299,0.568,0
251315,Nordeste,Paraíba,Santa Cecília,Menor porte,Não municipalizado,0,0,0,0,0,14.645374449339206,0.2665198237885463,0,1039.5963919889925,69.40834734750038,8326.708454364776,0.525,0
251335,Nordeste,Paraíba,Santa Inês,Menor porte,Não municipalizado,0,0,0,0,0,11.560411311053985,0.7336747759282971,278.3189535207348,1308.0990815474534,217.36710269969385,8706.651822989146,0.572,0
251440,Nordeste,Paraíba,São José de Espinharas,Menor porte,Não municipalizado,0,0,0,0,0,12.901084010840108,0.6178861788617886,0,1653.7800687285223,158.50515463917526,9694.802405498282,0.577,0
